bkeepers;4;3;2;2;4;2;3;8;3;2;4;7;13;74;7;12;6;5;7;12;17;30;3;133;6;89;78;376;1795;935;0.05454545454545454
kevinsawicki;2721;1;1.0
jbarnette;2710;1;1.0
joeyw;2706;1;1.0
skalnik;39;82;2582;123;0.032520325203252036
danielmorrison;2700;2;1.0
brianstorti;4;2682;5;0.4
siong1987;2668;1;1.0
spraints;2617;2;1.0
soffes;2585;1;1.0
ezkl;13;20;2528;34;0.08823529411764706
btoews;7;2547;8;0.25
shell;2576;1;1.0
tombell;2548;1;1.0
jrsconfitto;2483;1;1.0
danthompson;2406;1;1.0
themgt;5;2344;6;0.3333333333333333
ejfinneran;2343;1;1.0
kelvinst;2274;1;1.0
sethvargo;2249;1;1.0
jonrohan;2175;1;1.0
